,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit,query_genre
811,Here I Am,BOYS PLANET - Here I Am,https://open.spotify.com/album/3qaFHMGRbufnBob2fGNKkc,BOYS PLANET,66,2023-01-05,https://open.spotify.com/track/5ZMbkW9TYzmKyod6FCIS4Q,244733,False,k-pop
812,You Are My Everything,Descendants Of The Sun Pt.4 (Original Television Soundtrack),https://open.spotify.com/album/2xhG5yxzYITJA30jKf2MkQ,Gummy,66,2016-03-10,https://open.spotify.com/track/4s80CRYk3rRPZE56NvmFi7,240590,False,k-pop
813,踊,踊,https://open.spotify.com/album/6jfXGkieuNnsFxi5pS3vJ2,Ado,66,2021-04-27,https://open.spotify.com/track/7z6qHGEKxRtwtYym2epV7l,208271,False,japanese
814,三原色,三原色,https://open.spotify.com/album/3MeMuzwFRLje0g7fdni41h,YOASOBI,66,2021-07-02,https://open.spotify.com/track/3FUCuf498nFHJXFYR1V9Bd,224066,False,japanese
815,Kiss,Perfume - The 1st Mini Album,https://open.spotify.com/album/3sVBVr420an61GAwib9AYk,NCT DOJAEJUNG,66,2023-04-17,https://open.spotify.com/track/6iirdwpyu2Ohg3iVdu4vXl,180933,False,k-pop
816,I'm Not Cool,I'm Not Cool,https://open.spotify.com/album/6DRfmdNDiTsTVACn9gavR0,HyunA,66,2021-01-28,https://open.spotify.com/track/5iIpbD34k4wnuRMZDNnuWf,174173,False,k-pop
817,逆光 - ウタ from ONE PIECE FILM RED,逆光 (ウタ from ONE PIECE FILM RED),https://open.spotify.com/album/3ZARNbKk2zkYDeVQpHE564,Ado,66,2022-07-05,https://open.spotify.com/track/5GXYKnnzBlHvrzBQ5WoxME,237862,False,japanese
818,Anymore,XOXO,https://open.spotify.com/album/1aFBAMZbMPfzXYGjANINvw,JEON SOMI,66,2021-10-29,https://open.spotify.com/track/5ysBBGHvIGTqgQb5xdL3Lf,197701,False,k-pop
819,Hope World,Hope World,https://open.spotify.com/album/0XX1044L7ovU5aon6nRiF7,j-hope,66,2018-03-02,https://open.spotify.com/track/5UMPPsXaGbR1qtzcnEtTpM,204930,False,k-pop
820,LEFT RIGHT REMIXX - FEAT. CIARA & JACKSON WANG // PROD BY JAKOPS,LEFT RIGHT REMIXX (FEAT. CIARA & JACKSON WANG // PROD BY JAKOPS),https://open.spotify.com/album/6BYq4jicnLns37lj7By6NX,XG,66,2023-05-05,https://open.spotify.com/track/4Fd2BjzdKHzrc2uY7zmMar,271893,False,k-pop
821,10 Months,BORDER : DAY ONE,https://open.spotify.com/album/3YxF7jTnpdNepWbO42f8lH,ENHYPEN,66,2020-11-30,https://open.spotify.com/track/3LcFQsZw01tRvjCNLgSmTv,194220,False,k-pop
822,Have a nice day,POP CUBE,https://open.spotify.com/album/3mlVZ7OTZgKJJAr275tHZX,imase,66,2022-11-09,https://open.spotify.com/track/5SWxyVd5Q5c1jzPpdL9olt,175600,False,japanese
823,Up!,DOUBLAST,https://open.spotify.com/album/0yMosWzriw3613d26x7MQK,Kep1er,66,2022-06-20,https://open.spotify.com/track/3XZAvh2NCDQYHgJei35VQ1,192026,False,k-pop
824,Gallery Dept,Gallery Dept,https://open.spotify.com/album/7HxfhtYGfk6Gtr74ccp6f2,Loredana,66,2023-06-23,https://open.spotify.com/track/1yfo1GAi5eQgsv0En0kbwE,136615,True,k-pop
825,GANADARA (Feat. IU),GANADARA,https://open.spotify.com/album/4cwyl5ynvYVojZRbZ3dSFH,Jay Park,66,2022-03-11,https://open.spotify.com/track/5quFr5s5PXYfUX5jV2EBZ1,203727,False,k-pop
